Year,School,School_Consistant,Type,LearningCommunity,lon,lat,AMINMale,AMINFemale,AMIN_Pop,AMIN_Prcnt,AMINPercent,AsianMale,AsianFemale,Asian_Pop,Asian_Prcnt,AsianPercent,HispanicMale,HispanicFemale,Hispanic_Pop,Hispanic_Prcnt,HispanicPercent,BlackMale,BlackFemale,Black_Pop,Black_Prcnt,BlackPercent,WhiteMale,WhiteFemale,White_Pop,White_Prcnt,WhitePercent,PacificIslandMale,PacificIslandFemale,Pacific_Pop,Pacific_Prcnt,PacificPercent,TwoorMoreMale,TwoorMoreFemale,Mixed_Pop,Mixed_Prcnt,TwoorMorePercent,Total,Diverse1,Diverse2,Diverse3
2008,JV WASHAM ELEM,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,3,0,3,0.38,0.004,6,14,20,2.535,0.025,22,20,42,5.323,0.053,53,41,94,11.914,0.119,315,315,630,79.848,0.798,0,0,0,0,0,0,0,0,0,0,789,1,0,1
2009,JV WASHAM ELEM,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,0,0,0,0,0,8,19,27,3.118,0.031,28,31,59,6.813,0.068,58,50,108,12.471,0.125,341,331,672,77.598,0.776,0,0,0,0,0,0,0,0,0,0,866,1,0,1
2010,JV WASHAM ELEM,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,0,1,1,0.107,0.001,11,18,29,3.105,0.031,30,35,65,6.959,0.07,63,52,115,12.313,0.123,336,388,724,77.516,0.775,0,0,0,0,0,0,0,0,0,0,934,1,0,1
2011,J.V. WASHAM ELEMENTARY,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,0,1,1,0.099,0.001,7,24,31,3.082,0.031,40,31,71,7.058,0.071,37,33,70,6.958,0.07,378,402,780,77.535,0.775,0,0,0,0,0,30,23,53,5.268,0.053,1006,1,1,1
2012,J.V. WASHAM ELEMENTARY,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,0,0,0,0,0,13,25,38,3.616,0.036,47,33,80,7.612,0.076,39,38,77,7.326,0.073,413,408,821,78.116,0.781,0,0,0,0,0,18,17,35,3.33,0.033,1051,1,1,1
2013,J.V. WASHAM ELEMENTARY,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,0,0,0,0,0,17,24,41,3.731,0.037,47,38,85,7.734,0.077,44,43,87,7.916,0.079,426,427,853,77.616,0.776,0,0,0,0,0,16,17,33,3.003,0.03,1099,1,1,1
2014,J.V. Washam Elementary,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,0,0,0,0,0,19,20,39,3.618,0.036,42,40,82,7.607,0.076,52,47,99,9.184,0.092,410,423,833,77.273,0.773,0,0,0,0,0,14,11,25,2.319,0.023,1078,1,1,1
2015,J.V. Washam Elementary,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,1,0,1,0.101,0.001,15,20,35,3.528,0.035,40,36,76,7.661,0.077,37,47,84,8.468,0.085,386,388,774,78.024,0.78,1,0,1,0.101,0.001,11,10,21,2.117,0.021,992,1,1,1
2016,J.V. Washam Elementary,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,3,1,4,0.406,0.004,16,16,32,3.249,0.032,38,42,80,8.122,0.081,36,50,86,8.731,0.087,374,382,756,76.751,0.768,2,0,2,0.203,0.002,12,13,25,2.538,0.025,985,1,1,1
2017,J.V. Washam Elementary,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,1,1,2,0.194,0.002,15,19,34,3.291,0.033,46,58,104,10.068,0.101,28,58,86,8.325,0.083,373,395,768,74.347,0.743,2,1,3,0.29,0.003,16,20,36,3.485,0.035,1033,0,1,1
2018,J.V. Washam Elementary,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,1,0,1,0.093,0.001,18,21,39,3.618,0.036,55,66,121,11.224,0.112,41,52,93,8.627,0.086,406,386,792,73.469,0.735,3,0,3,0.278,0.003,13,16,29,2.69,0.027,1078,0,1,1
2019,J.V. Washam Elementary,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,1,0,1,0.089,0.001,24,27,51,4.558,0.046,61,73,134,11.975,0.12,48,57,105,9.383,0.094,403,392,795,71.046,0.71,3,0,3,0.268,0.003,16,14,30,2.681,0.027,1119,0,1,1
2020,J.V. Washam Elementary,J.V. WASHAM ELEMENTARY,Elementary,Northwest,-80.868113,35.466654,2,0,2,0.187,0.002,21,22,43,4.019,0.04,50,62,112,10.467,0.105,37,60,97,9.065,0.091,398,380,778,72.71,0.727,2,0,2,0.187,0.002,15,21,36,3.364,0.034,1070,0,1,1
2008,JAMES MARTIN MIDDLE,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,5,3,8,0.584,0.006,34,27,61,4.449,0.044,127,118,245,17.87,0.179,522,449,971,70.824,0.708,53,33,86,6.273,0.063,0,0,0,0,0,0,0,0,0,0,1371,0,1,1
2009,JAMES MARTIN MIDDLE,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,3,5,8,0.582,0.006,32,23,55,4.003,0.04,130,118,248,18.049,0.18,526,452,978,71.179,0.712,51,34,85,6.186,0.062,0,0,0,0,0,0,0,0,0,0,1374,0,1,1
2010,JAMES MARTIN MIDDLE,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,4,8,12,0.949,0.009,29,20,49,3.874,0.039,124,101,225,17.787,0.178,476,434,910,71.937,0.719,41,28,69,5.455,0.055,0,0,0,0,0,0,0,0,0,0,1265,0,1,1
2011,JAMES MARTIN MIDDLE,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,5,9,14,1.15,0.012,33,21,54,4.437,0.044,125,98,223,18.324,0.183,436,399,835,68.611,0.686,29,21,50,4.108,0.041,0,0,0,0,0,23,18,41,3.369,0.034,1217,0,1,1
2012,JAMES MARTIN MIDDLE,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,4,8,12,1.071,0.011,35,25,60,5.357,0.054,121,91,212,18.929,0.189,391,368,759,67.768,0.678,24,23,47,4.196,0.042,0,0,0,0,0,17,13,30,2.679,0.027,1120,0,1,1
2013,JAMES MARTIN MIDDLE,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,4,3,7,0.643,0.006,27,19,46,4.228,0.042,116,106,222,20.404,0.204,383,346,729,67.004,0.67,24,24,48,4.412,0.044,0,0,0,0,0,23,13,36,3.309,0.033,1088,0,1,1
2014,James Martin Middle,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,6,0,6,0.524,0.005,25,21,46,4.017,0.04,132,114,246,21.485,0.215,398,364,762,66.55,0.666,32,27,59,5.153,0.052,0,0,0,0,0,17,9,26,2.271,0.023,1145,0,1,1
2015,James Martin Middle,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,6,1,7,0.629,0.006,22,17,39,3.504,0.035,132,138,270,24.259,0.243,408,319,727,65.319,0.653,20,24,44,3.953,0.04,0,0,0,0,0,16,10,26,2.336,0.023,1113,0,1,1
2016,James Martin Middle,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,5,3,8,0.747,0.007,27,21,48,4.482,0.045,154,142,296,27.638,0.276,374,281,655,61.158,0.612,17,24,41,3.828,0.038,0,0,0,0,0,14,9,23,2.148,0.021,1071,0,1,1
2017,James Martin Middle,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,5,4,9,0.885,0.009,21,20,41,4.031,0.04,148,125,273,26.844,0.268,348,301,649,63.815,0.638,18,8,26,2.557,0.026,0,0,0,0,0,11,8,19,1.868,0.019,1017,0,1,1
2018,James Martin Middle,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,3,5,8,0.767,0.008,22,19,41,3.931,0.039,165,131,296,28.38,0.284,343,304,647,62.033,0.62,18,14,32,3.068,0.031,0,0,0,0,0,11,8,19,1.822,0.018,1043,0,1,1
2019,James Martin Middle,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,1,2,3,0.348,0.003,10,15,25,2.897,0.029,140,120,260,30.127,0.301,285,237,522,60.487,0.605,13,18,31,3.592,0.036,0,1,1,0.116,0.001,10,11,21,2.433,0.024,863,0,1,1
2020,James Martin Middle,JAMES MARTIN MIDDLE,Middle,Northeast,-80.766132,35.299254,1,0,1,0.138,0.001,9,9,18,2.483,0.025,120,109,229,31.586,0.316,234,191,425,58.621,0.586,13,12,25,3.448,0.034,3,1,4,0.552,0.006,14,9,23,3.172,0.032,725,0,1,1
2008,JAY ROBINSON MIDDLE,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,2,1,3,0.288,0.003,37,43,80,7.692,0.077,23,15,38,3.654,0.037,85,83,168,16.154,0.162,420,331,751,72.212,0.722,0,0,0,0,0,0,0,0,0,0,1040,0,0,0
2009,JAY ROBINSON MIDDLE,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,3,2,5,0.447,0.004,36,51,87,7.775,0.078,33,26,59,5.273,0.053,101,88,189,16.89,0.169,382,397,779,69.616,0.696,0,0,0,0,0,0,0,0,0,0,1119,0,0,0
2010,JAY ROBINSON MIDDLE,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,4,2,6,0.531,0.005,49,50,99,8.753,0.088,44,34,78,6.897,0.069,88,100,188,16.622,0.166,375,385,760,67.197,0.672,0,0,0,0,0,0,0,0,0,0,1131,0,0,0
2011,JAY M ROBINSON MIDDLE,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,1,3,4,0.357,0.004,55,53,108,9.643,0.096,39,37,76,6.786,0.068,77,75,152,13.571,0.136,339,389,728,65,0.65,0,0,0,0,0,26,26,52,4.643,0.046,1120,0,0,0
2012,JAY M ROBINSON MIDDLE,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,2,2,4,0.359,0.004,58,66,124,11.131,0.111,29,36,65,5.835,0.058,63,72,135,12.118,0.121,379,375,754,67.684,0.677,0,0,0,0,0,18,14,32,2.873,0.029,1114,0,0,0
2013,JAY M ROBINSON MIDDLE,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,1,1,2,0.187,0.002,57,65,122,11.434,0.114,31,38,69,6.467,0.065,56,62,118,11.059,0.111,374,354,728,68.229,0.682,0,0,0,0,0,20,8,28,2.624,0.026,1067,0,0,0
2014,Jay M Robinson Middle,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,0,0,0,0,0,80,77,157,14.234,0.142,36,36,72,6.528,0.065,44,47,91,8.25,0.083,379,378,757,68.631,0.686,0,1,1,0.091,0.001,18,7,25,2.267,0.023,1103,0,1,1
2015,Jay M Robinson Middle,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,1,0,1,0.091,0.001,86,88,174,15.804,0.158,42,35,77,6.994,0.07,46,40,86,7.811,0.078,371,366,737,66.939,0.669,0,1,1,0.091,0.001,16,9,25,2.271,0.023,1101,0,1,1
2016,Jay M Robinson Middle,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,1,0,1,0.091,0.001,93,96,189,17.229,0.172,44,30,74,6.746,0.067,48,39,87,7.931,0.079,360,356,716,65.269,0.653,0,0,0,0,0,15,15,30,2.735,0.027,1097,0,1,1
2017,Jay M Robinson Middle,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,1,1,2,0.176,0.002,105,112,217,19.085,0.191,43,33,76,6.684,0.067,66,46,112,9.85,0.099,371,334,705,62.005,0.62,0,0,0,0,0,11,14,25,2.199,0.022,1137,0,1,1
2018,Jay M Robinson Middle,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,1,3,4,0.339,0.003,124,117,241,20.406,0.204,44,33,77,6.52,0.065,59,53,112,9.483,0.095,364,356,720,60.965,0.61,0,0,0,0,0,14,13,27,2.286,0.023,1181,0,1,1
2019,Jay M Robinson Middle,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,0,0,0,0,0,143,133,276,22.531,0.225,47,41,88,7.184,0.072,55,54,109,8.898,0.089,371,352,723,59.02,0.59,1,0,1,0.082,0.001,15,13,28,2.286,0.023,1225,0,1,1
2020,Jay M Robinson Middle,JAY M ROBINSON MIDDLE,Middle,Southeast,-80.783645,35.062969,2,0,2,0.165,0.002,157,151,308,25.35,0.253,53,54,107,8.807,0.088,49,53,102,8.395,0.084,326,339,665,54.733,0.547,1,0,1,0.082,0.001,19,11,30,2.469,0.025,1215,0,1,1
2008,JOSEPH W GRIER ACAD,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,3,6,9,1.069,0.011,19,15,34,4.038,0.04,110,122,232,27.553,0.276,280,244,524,62.233,0.622,27,16,43,5.107,0.051,0,0,0,0,0,0,0,0,0,0,842,0,1,1
2009,JOSEPH W GRIER ACAD,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,2,1,3,0.355,0.004,22,15,37,4.374,0.044,121,116,237,28.014,0.28,267,271,538,63.593,0.636,16,15,31,3.664,0.037,0,0,0,0,0,0,0,0,0,0,846,0,1,1
2010,JOSEPH W GRIER ACAD,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,1,1,2,0.236,0.002,19,15,34,4.005,0.04,129,128,257,30.271,0.303,248,269,517,60.895,0.609,18,21,39,4.594,0.046,0,0,0,0,0,0,0,0,0,0,849,0,1,1
2011,JOSEPH W GRIER ACADEMY,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,3,1,4,0.46,0.005,19,12,31,3.567,0.036,134,138,272,31.3,0.313,247,232,479,55.121,0.551,20,25,45,5.178,0.052,0,0,0,0,0,11,27,38,4.373,0.044,869,0,1,1
2012,JOSEPH W GRIER ACADEMY,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,3,3,6,0.655,0.007,21,18,39,4.258,0.043,142,143,285,31.114,0.311,272,256,528,57.642,0.576,23,19,42,4.585,0.046,0,0,0,0,0,7,9,16,1.747,0.017,916,0,1,1
2013,JOSEPH W GRIER ACADEMY,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,3,2,5,0.588,0.006,18,18,36,4.235,0.042,150,134,284,33.412,0.334,241,225,466,54.824,0.548,21,22,43,5.059,0.051,0,0,0,0,0,7,9,16,1.882,0.019,850,0,1,1
2014,Joseph W Grier Academy,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,1,3,4,0.496,0.005,20,14,34,4.213,0.042,146,129,275,34.077,0.341,232,196,428,53.036,0.53,24,21,45,5.576,0.056,1,2,3,0.372,0.004,10,8,18,2.23,0.022,807,0,1,1
2015,Joseph W Grier Academy,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,1,1,2,0.253,0.003,18,15,33,4.183,0.042,147,140,287,36.375,0.364,219,193,412,52.218,0.522,17,21,38,4.816,0.048,0,3,3,0.38,0.004,7,7,14,1.774,0.018,789,0,1,1
2016,Joseph W Grier Academy,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,0,5,5,0.625,0.006,16,17,33,4.125,0.041,147,151,298,37.25,0.373,220,195,415,51.875,0.519,20,14,34,4.25,0.043,0,2,2,0.25,0.003,8,5,13,1.625,0.016,800,0,1,1
2017,Joseph W Grier Academy,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,0,6,6,0.76,0.008,23,19,42,5.323,0.053,150,143,293,37.136,0.371,210,185,395,50.063,0.501,15,21,36,4.563,0.046,1,2,3,0.38,0.004,9,5,14,1.774,0.018,789,0,1,1
2018,Joseph W Grier Academy,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,0,7,7,0.911,0.009,24,24,48,6.25,0.063,156,157,313,40.755,0.408,174,169,343,44.661,0.447,17,16,33,4.297,0.043,2,6,8,1.042,0.01,10,6,16,2.083,0.021,768,0,1,1
2019,Joseph W Grier Academy,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,0,3,3,0.377,0.004,23,25,48,6.038,0.06,148,165,313,39.371,0.394,188,183,371,46.667,0.467,20,20,40,5.031,0.05,0,1,1,0.126,0.001,12,7,19,2.39,0.024,795,0,1,1
2020,Joseph W Grier Academy,JOSEPH W GRIER ACADEMY,Elementary,Northeast,-80.725533,35.267843,1,3,4,0.535,0.005,20,20,40,5.355,0.054,155,152,307,41.098,0.411,168,171,339,45.382,0.454,21,15,36,4.819,0.048,1,3,4,0.535,0.005,10,7,17,2.276,0.023,747,0,1,1
2008,KENNEDY MIDDLE,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,2,3,5,0.75,0.007,21,22,43,6.447,0.064,98,81,179,26.837,0.268,156,199,355,53.223,0.532,50,35,85,12.744,0.127,0,0,0,0,0,0,0,0,0,0,667,0,0,0
2009,KENNEDY MIDDLE,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,1,1,2,0.296,0.003,18,24,42,6.222,0.062,85,98,183,27.111,0.271,177,203,380,56.296,0.563,37,31,68,10.074,0.101,0,0,0,0,0,0,0,0,0,0,675,0,0,0
2010,KENNEDY MIDDLE,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,1,1,2,0.324,0.003,15,30,45,7.282,0.073,92,86,178,28.803,0.288,152,177,329,53.236,0.532,39,25,64,10.356,0.104,0,0,0,0,0,0,0,0,0,0,618,0,0,0
2011,KENNEDY MIDDLE,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,0,0,0,0,0,18,25,43,6.793,0.068,102,86,188,29.7,0.297,149,167,316,49.921,0.499,42,20,62,9.795,0.098,0,0,0,0,0,14,10,24,3.791,0.038,633,0,1,1
2012,KENNEDY MIDDLE,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,0,1,1,0.156,0.002,20,20,40,6.231,0.062,123,102,225,35.047,0.35,140,147,287,44.704,0.447,48,26,74,11.526,0.115,0,0,0,0,0,7,8,15,2.336,0.023,642,0,0,0
2013,KENNEDY MIDDLE,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,1,0,1,0.154,0.002,31,19,50,7.68,0.077,112,99,211,32.412,0.324,160,136,296,45.469,0.455,44,36,80,12.289,0.123,0,0,0,0,0,7,6,13,1.997,0.02,651,0,0,0
2014,Kennedy Middle,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,3,1,4,0.599,0.006,31,17,48,7.186,0.072,109,102,211,31.587,0.316,164,144,308,46.108,0.461,43,31,74,11.078,0.111,1,1,2,0.299,0.003,9,12,21,3.144,0.031,668,0,0,0
2015,Kennedy Middle,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,3,0,3,0.416,0.004,35,18,53,7.341,0.073,123,112,235,32.548,0.325,169,153,322,44.598,0.446,54,37,91,12.604,0.126,0,1,1,0.139,0.001,9,8,17,2.355,0.024,722,0,0,0
2016,Kennedy Middle,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,1,0,1,0.131,0.001,32,21,53,6.937,0.069,127,124,251,32.853,0.329,176,147,323,42.277,0.423,76,36,112,14.66,0.147,0,1,1,0.131,0.001,9,14,23,3.01,0.03,764,0,0,0
2017,Kennedy Middle,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,1,1,2,0.221,0.002,36,35,71,7.828,0.078,149,154,303,33.407,0.334,202,159,361,39.802,0.398,94,51,145,15.987,0.16,0,0,0,0,0,12,13,25,2.756,0.028,907,0,0,0
2018,Kennedy Middle,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,0,0,0,0,0,30,37,67,6.851,0.069,165,164,329,33.64,0.336,208,197,405,41.411,0.414,93,55,148,15.133,0.151,1,0,1,0.102,0.001,14,14,28,2.863,0.029,978,0,0,0
2019,Kennedy Middle,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,0,0,0,0,0,26,38,64,6.148,0.061,208,154,362,34.774,0.348,217,220,437,41.979,0.42,86,61,147,14.121,0.141,1,1,2,0.192,0.002,14,15,29,2.786,0.028,1041,0,0,0
2020,Kennedy Middle,KENNEDY MIDDLE,Middle,Southwest,-80.955902,35.153672,0,0,0,0,0,27,28,55,5.184,0.052,224,173,397,37.418,0.374,232,218,450,42.413,0.424,69,62,131,12.347,0.123,1,1,2,0.189,0.002,16,10,26,2.451,0.025,1061,0,0,0
2008,LAKE WYLIE ELEM,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,3,2,5,0.517,0.005,29,23,52,5.377,0.054,100,94,194,20.062,0.201,156,153,309,31.954,0.32,206,201,407,42.089,0.421,0,0,0,0,0,0,0,0,0,0,967,0,0,0
2009,LAKE WYLIE ELEM,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,3,5,8,0.815,0.008,33,21,54,5.505,0.055,102,85,187,19.062,0.191,179,169,348,35.474,0.355,204,180,384,39.144,0.391,0,0,0,0,0,0,0,0,0,0,981,0,0,0
2010,LAKE WYLIE ELEM,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,1,3,4,0.559,0.006,30,26,56,7.832,0.078,87,88,175,24.476,0.245,128,146,274,38.322,0.383,108,98,206,28.811,0.288,0,0,0,0,0,0,0,0,0,0,715,0,0,0
2011,LAKE WYLIE ELEMENTARY,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,1,2,3,0.433,0.004,34,28,62,8.947,0.089,80,88,168,24.242,0.242,108,107,215,31.025,0.31,98,103,201,29.004,0.29,0,0,0,0,0,25,19,44,6.349,0.063,693,0,0,0
2012,LAKE WYLIE ELEMENTARY,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,1,4,5,0.717,0.007,25,23,48,6.887,0.069,83,96,179,25.681,0.257,133,122,255,36.585,0.366,96,90,186,26.686,0.267,0,0,0,0,0,14,10,24,3.443,0.034,697,0,0,0
2013,LAKE WYLIE ELEMENTARY,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,2,1,3,0.476,0.005,22,22,44,6.984,0.07,82,85,167,26.508,0.265,128,99,227,36.032,0.36,84,75,159,25.238,0.252,0,0,0,0,0,17,13,30,4.762,0.048,630,0,0,0
2014,Lake Wylie Elementary,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,4,2,6,0.929,0.009,24,18,42,6.502,0.065,95,92,187,28.947,0.289,133,102,235,36.378,0.364,79,71,150,23.22,0.232,1,1,2,0.31,0.003,13,11,24,3.715,0.037,646,0,0,0
2015,Lake Wylie Elementary,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,2,3,5,0.795,0.008,24,17,41,6.518,0.065,91,107,198,31.479,0.315,138,116,254,40.382,0.404,63,47,110,17.488,0.175,1,1,2,0.318,0.003,11,8,19,3.021,0.03,629,0,0,0
2016,Lake Wylie Elementary,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,1,1,2,0.31,0.003,30,18,48,7.442,0.074,89,100,189,29.302,0.293,137,125,262,40.62,0.406,68,54,122,18.915,0.189,0,2,2,0.31,0.003,11,9,20,3.101,0.031,645,0,0,0
2017,Lake Wylie Elementary,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,4,0,4,0.594,0.006,25,15,40,5.944,0.059,82,110,192,28.529,0.285,136,160,296,43.982,0.44,64,48,112,16.642,0.166,0,2,2,0.297,0.003,14,13,27,4.012,0.04,673,0,0,0
2018,Lake Wylie Elementary,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,2,0,2,0.313,0.003,19,15,34,5.329,0.053,96,99,195,30.564,0.306,130,150,280,43.887,0.439,64,37,101,15.831,0.158,0,0,0,0,0,12,14,26,4.075,0.041,638,0,0,0
2019,Lake Wylie Elementary,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,0,0,0,0,0,16,16,32,5.112,0.051,95,107,202,32.268,0.323,140,143,283,45.208,0.452,47,33,80,12.78,0.128,0,0,0,0,0,17,12,29,4.633,0.046,626,0,0,0
2020,Lake Wylie Elementary,LAKE WYLIE ELEMENTARY,Elementary,Southwest,-80.971751,35.115333,0,0,0,0,0,21,18,39,6.555,0.066,95,101,196,32.941,0.329,138,116,254,42.689,0.427,46,31,77,12.941,0.129,0,1,1,0.168,0.002,17,11,28,4.706,0.047,595,0,0,0
2008,LANSDOWNE ELEMENTARY,LANSDOWNE ELEMENTARY,Elementary,Southeast,-80.781948,35.143165,2,2,4,0.71,0.007,8,7,15,2.664,0.027,36,35,71,12.611,0.126,104,89,193,34.281,0.343,136,144,280,49.734,0.497,0,0,0,0,0,0,0,0,0,0,563,0,0,0
2009,LANSDOWNE ELEMENTARY,LANSDOWNE ELEMENTARY,Elementary,Southeast,-80.781948,35.143165,2,0,2,0.36,0.004,6,8,14,2.523,0.025,33,34,67,12.072,0.121,109,101,210,37.838,0.378,119,143,262,47.207,0.472,0,0,0,0,0,0,0,0,0,0,555,0,0,0
2010,LANSDOWNE ELEMENTARY,LANSDOWNE ELEMENTARY,Elementary,Southeast,-80.781948,35.143165,0,0,0,0,0,6,5,11,1.95,0.02,28,33,61,10.816,0.108,116,113,229,40.603,0.406,119,144,263,46.631,0.466,0,0,0,0,0,0,0,0,0,0,564,0,0,0
2011,LANSDOWNE ELEMENTARY,LANSDOWNE ELEMENTARY,Elementary,Southeast,-80.781948,35.143165,0,1,1,0.171,0.002,7,6,13,2.226,0.022,24,32,56,9.589,0.096,101,89,190,32.534,0.325,139,134,273,46.747,0.467,0,0,0,0,0,26,25,51,8.733,0.087,584,0,0,0
2012,LANSDOWNE ELEMENTARY,LANSDOWNE ELEMENTARY,Elementary,Southeast,-80.781948,35.143165,0,0,0,0,0,10,8,18,2.951,0.03,29,30,59,9.672,0.097,125,120,245,40.164,0.402,137,120,257,42.131,0.421,0,0,0,0,0,18,13,31,5.082,0.051,610,0,0,0
2013,LANSDOWNE ELEMENTARY,LANSDOWNE ELEMENTARY,Elementary,Southeast,-80.781948,35.143165,0,1,1,0.157,0.002,10,12,22,3.459,0.035,35,47,82,12.893,0.129,136,117,253,39.78,0.398,134,122,256,40.252,0.403,0,0,0,0,0,11,11,22,3.459,0.035,636,0,0,0
2014,Lansdowne Elementary,LANSDOWNE ELEMENTARY,Elementary,Southeast,-80.781948,35.143165,2,0,2,0.314,0.003,10,15,25,3.931,0.039,43,52,95,14.937,0.149,131,111,242,38.05,0.381,134,120,254,39.937,0.399,0,0,0,0,0,9,9,18,2.83,0.028,636,0,0,0
2015,Lansdowne Elementary,LANSDOWNE ELEMENTARY,Elementary,Southeast,-80.781948,35.143165,2,0,2,0.311,0.003,11,14,25,3.888,0.039,51,52,103,16.019,0.16,125,90,215,33.437,0.334,147,128,275,42.768,0.428,1,0,1,0.156,0.002,10,12,22,3.421,0.034,643,0,0,0
2016,Lansdowne Elementary,LANSDOWNE ELEMENTARY,Elementary,Southeast,-80.781948,35.143165,1,0,1,0.164,0.002,9,17,26,4.262,0.043,36,54,90,14.754,0.148,110,99,209,34.262,0.343,144,120,264,43.279,0.433,1,0,1,0.164,0.002,11,8,19,3.115,0.031,610,0,0,0
